Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
Q6NXT4	SLC30A6	solute carrier family 30 member 6	55676	Q6NXT4	Cal33-HSC6	1.85784386638869	0.0134640348470283	0.0362993115604895	no	1.85784386638869	0.0362993115604895	4	3	Cal33	human
Q6NXT6	TAPT1	transmembrane anterior posterior transformation 1	202018	Q6NXT6	Cal33-HSC6	-0.0800631103371787	0.866036057691032	0.906760541824481	no	-0.0800631103371787	0.906760541824481	3	4	HSC6	human
Q6NYC8	PPP1R18	protein phosphatase 1 regulatory subunit 18	170954	Q6NYC8	Cal33-HSC6	-3.73685673250977	4.43870917732347e-06	0.00028359537854137	no	-3.73685673250977	0.00028359537854137	4	4	HSC6	human
Q6NZ36	FAAP20	FA core complex associated protein 20	199990	Q6NZ36	Cal33-HSC6	0.421721728738151	0.127121107352134	0.203393771763415	no	0.421721728738151	0.203393771763415	4	2	Cal33	human
Q6NZI2	CAVIN1	caveolae associated protein 1	284119	Q6NZI2	Cal33-HSC6	-0.855750549561231	0.0173766157489346	0.0441205299398785	no	-0.855750549561231	0.0441205299398785	4	4	HSC6	human
Q6NZY4	ZCCHC8	zinc finger CCHC-type containing 8	55596	Q6NZY4	Cal33-HSC6	-1.83486761917812	0.000343441938698064	0.00289290775876887	no	-1.83486761917812	0.00289290775876887	4	4	HSC6	human
Q6P0N0	MIS18BP1	MIS18 binding protein 1	55320	Q6P0N0	Cal33-HSC6	-0.922197708215352	0.000255138447095682	0.00246918181019043	no	-0.922197708215352	0.00246918181019043	4	4	HSC6	human
Q6P0Q8	MAST2	microtubule associated serine/threonine kinase 2	23139	Q6P0Q8	Cal33-HSC6	0.679168243399943	0.174668661661561	0.259880849874024	no	0.679168243399943	0.259880849874024	4	4	Cal33	human
Q6P158	DHX57	DExH-box helicase 57	90957	Q6P158	Cal33-HSC6	-Inf	NA	0	yes	-4.07518226192538	0.0278889	0	4	HSC6	human
Q6P1L5	FAM117B	family with sequence similarity 117 member B	150864	Q6P1L5	Cal33-HSC6	1.25512238036121	0.0166790886216277	0.0428275952994053	no	1.25512238036121	0.0428275952994053	4	1	Cal33	human
Q6P1M3	LLGL2	LLGL scribble cell polarity complex component 2	3993	Q6P1M3	Cal33-HSC6	-0.838592793010386	0.000410857989602498	0.0033034642396322	no	-0.838592793010386	0.0033034642396322	4	4	HSC6	human
Q6P1N0	CC2D1A	coiled-coil and C2 domain containing 1A	54862	Q6P1N0	Cal33-HSC6	-0.382529574356214	0.159340401232884	0.242051449201099	no	-0.382529574356214	0.242051449201099	4	4	HSC6	human
Q6P1R3	MSANTD2	Myb/SANT DNA binding domain containing 2	79684	Q6P1R3	Cal33-HSC6	0.822849075863458	0.00671701323561047	0.0220711766173207	no	0.822849075863458	0.0220711766173207	3	4	Cal33	human
Q6P1X5	TAF2	TATA-box binding protein associated factor 2	6873	Q6P1X5	Cal33-HSC6	-0.472367951058419	0.0446207214697822	0.0909927791043804	no	-0.472367951058419	0.0909927791043804	4	4	HSC6	human
Q6P2E9	EDC4	enhancer of mRNA decapping 4	23644	Q6P2E9	Cal33-HSC6	0.324902811128951	0.131977902651232	0.20937600500325	no	0.324902811128951	0.20937600500325	4	4	Cal33	human
Q6P2H3	CEP85	centrosomal protein 85	64793	Q6P2H3	Cal33-HSC6	-0.441318205714519	0.178926734009461	0.2649780098075	no	-0.441318205714519	0.2649780098075	3	4	HSC6	human
Q6P2Q9	PRPF8	pre-mRNA processing factor 8	10594	Q6P2Q9	Cal33-HSC6	2.08134470092579	0.107934477388607	0.179466103163988	no	2.08134470092579	0.179466103163988	1	2	Cal33	human
Q6P3S6	FBXO42	F-box protein 42	54455	Q6P3S6	Cal33-HSC6	-0.768847819405434	0.1465931993844	0.226249513737242	no	-0.768847819405434	0.226249513737242	4	4	HSC6	human
Q6P3W7	SCYL2	SCY1 like pseudokinase 2	55681	Q6P3W7	Cal33-HSC6	-0.777555909672544	0.00723029050240642	0.0232537827875374	no	-0.777555909672544	0.0232537827875374	4	4	HSC6	human
Q6P3X8	PGBD2	piggyBac transposable element derived 2	267002	Q6P3X8	Cal33-HSC6	-Inf	NA	0	yes	-5.97527302915327	0.037656	0	4	HSC6	human
Q6P4F7	ARHGAP11A	Rho GTPase activating protein 11A	9824	Q6P4F7	Cal33-HSC6	-0.721920910928625	0.0760365338287263	0.136241037541173	no	-0.721920910928625	0.136241037541173	4	4	HSC6	human
Q6P4Q7	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	26504	Q6P4Q7	Cal33-HSC6	0.708110447703512	0.115838633060441	0.189240742772932	no	0.708110447703512	0.189240742772932	4	4	Cal33	human
Q6P4R8	NFRKB	nuclear factor related to kappaB binding protein	4798	Q6P4R8	Cal33-HSC6	0.190356590722918	0.362536588381691	0.463023063540836	no	0.190356590722918	0.463023063540836	4	4	Cal33	human
Q6P582	MZT2A	mitotic spindle organizing protein 2A	653784	Q6P582	Cal33-HSC6	0.725429438437775	0.0974874671427075	0.165635056233928	no	0.725429438437775	0.165635056233928	3	4	Cal33	human
Q6P597	KLC3	kinesin light chain 3	147700	Q6P597	Cal33-HSC6	1.30323969663144	0.00367051483073366	0.0143573946204619	no	1.30323969663144	0.0143573946204619	4	3	Cal33	human
Q6P6C2	ALKBH5	alkB homolog 5, RNA demethylase	54890	Q6P6C2	Cal33-HSC6	-1.26079836363283	0.00485219091528988	0.0175210808088569	no	-1.26079836363283	0.0175210808088569	4	4	HSC6	human
Q6P996	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	23042	Q6P996	Cal33-HSC6	0.118465262410823	0.537733188519508	0.630623378359526	no	0.118465262410823	0.630623378359526	4	4	Cal33	human
Q6P9B6	MEAK7	MTOR associated protein, eak-7 homolog	57707	Q6P9B6	Cal33-HSC6	0.374966362356697	0.514927353862064	0.61039787591095	no	0.374966362356697	0.61039787591095	4	4	Cal33	human
Q6P9B9	INTS5	integrator complex subunit 5	80789	Q6P9B9	Cal33-HSC6	0.312701679959046	0.320923558150181	0.420502308292253	no	0.312701679959046	0.420502308292253	4	4	Cal33	human
Q6P9G4	TMEM154	transmembrane protein 154	201799	Q6P9G4	Cal33-HSC6	0.0818116952418071	0.468619108324323	0.569063020939986	no	0.0818116952418071	0.569063020939986	4	4	Cal33	human
Q6P9H4	CNKSR3	CNKSR family member 3	154043	Q6P9H4	Cal33-HSC6	0.113271705759533	0.65362950904807	0.730999774081158	no	0.113271705759533	0.730999774081158	2	4	Cal33	human
Q6PCB5	RSBN1L	round spermatid basic protein 1 like	222194	Q6PCB5	Cal33-HSC6	3.01819474978776	2.07189884822157e-05	0.00057574646377266	no	3.01819474978776	0.00057574646377266	4	4	Cal33	human
Q6PCD5	RFWD3	ring finger and WD repeat domain 3	55159	Q6PCD5	Cal33-HSC6	Inf	NA	0	yes	6.61048629282313	0.0144982	4	0	Cal33	human
Q6PD62	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	9646	Q6PD62	Cal33-HSC6	-1.5905424552123	0.000132067333400876	0.00166329052554572	no	-1.5905424552123	0.00166329052554572	4	4	HSC6	human
Q6PFW1	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	9677	Q6PFW1	Cal33-HSC6	0.521240941227566	0.0966070089576943	0.164481037185999	no	0.521240941227566	0.164481037185999	4	3	Cal33	human
Q6PI48	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	55157	Q6PI48	Cal33-HSC6	-0.592282582487887	0.339412612168733	0.44002025942396	no	-0.592282582487887	0.44002025942396	3	3	HSC6	human
Q6PI98	INO80C	INO80 complex subunit C	125476	Q6PI98	Cal33-HSC6	-0.333768468318399	0.60084384196449	0.687171980177779	no	-0.333768468318399	0.687171980177779	4	3	HSC6	human
Q6PID6	TTC33	tetratricopeptide repeat domain 33	23548	Q6PID6	Cal33-HSC6	0.37346613634321	0.155037424067045	0.236417221374268	no	0.37346613634321	0.236417221374268	4	4	Cal33	human
Q6PIJ6	FBXO38	F-box protein 38	81545	Q6PIJ6	Cal33-HSC6	-0.208784723633324	0.486378607730277	0.583727661897174	no	-0.208784723633324	0.583727661897174	4	4	HSC6	human
Q6PJ61	FBXO46	F-box protein 46	23403	Q6PJ61	Cal33-HSC6	1.14415541984396	0.00410208906477405	0.0156046016514224	no	1.14415541984396	0.0156046016514224	4	4	Cal33	human
Q6PJF5	RHBDF2	rhomboid 5 homolog 2	79651	Q6PJF5	Cal33-HSC6	0.233203733525161	0.307162861911575	0.406099161260311	no	0.233203733525161	0.406099161260311	4	4	Cal33	human
Q6PJG2	MIDEAS	mitotic deacetylase associated SANT domain protein	91748	Q6PJG2	Cal33-HSC6	-0.427421886812675	0.0138124069777477	0.0369568939639904	no	-0.427421886812675	0.0369568939639904	4	4	HSC6	human
Q6PJG6	BRAT1	BRCA1 associated ATM activator 1	221927	Q6PJG6	Cal33-HSC6	1.16674343517056	0.00484013381510806	0.0175210808088569	no	1.16674343517056	0.0175210808088569	4	4	Cal33	human
Q6PJI9	WDR59	WD repeat domain 59	79726	Q6PJI9	Cal33-HSC6	-0.415487517204099	0.200822533817769	0.290777147647011	no	-0.415487517204099	0.290777147647011	4	4	HSC6	human
Q6PJP8	DCLRE1A	DNA cross-link repair 1A	9937	Q6PJP8	Cal33-HSC6	0.510838187251301	0.240597528050469	0.335697865605912	no	0.510838187251301	0.335697865605912	4	4	Cal33	human
Q6PJT7	ZC3H14	zinc finger CCCH-type containing 14	79882	Q6PJT7	Cal33-HSC6	-0.414412713078096	8.47254575329082e-05	0.00130954299410087	no	-0.414412713078096	0.00130954299410087	4	4	HSC6	human
Q6PK04	CCDC137	coiled-coil domain containing 137	339230	Q6PK04	Cal33-HSC6	-0.399866133916876	0.256158278563599	0.351101144617519	no	-0.399866133916876	0.351101144617519	4	4	HSC6	human
Q6PKG0	LARP1	La ribonucleoprotein 1, translational regulator	23367	Q6PKG0	Cal33-HSC6	-0.126756799081739	0.0455922075985538	0.0925210892248535	no	-0.126756799081739	0.0925210892248535	4	4	HSC6	human
Q6PL18	ATAD2	ATPase family AAA domain containing 2	29028	Q6PL18	Cal33-HSC6	-0.856171348190226	0.000114859185996297	0.00160372297294842	no	-0.856171348190226	0.00160372297294842	4	4	HSC6	human
Q6Q0C0	TRAF7	TNF receptor associated factor 7	84231	Q6Q0C0	Cal33-HSC6	0.521881681892291	0.0622686737174938	0.118135795349841	no	0.521881681892291	0.118135795349841	4	4	Cal33	human
Q6QNY0	BLOC1S3	biogenesis of lysosomal organelles complex 1 subunit 3	388552	Q6QNY0	Cal33-HSC6	-Inf	NA	0	yes	-4.77825323327668	0.0174058	0	3	HSC6	human
Q6R327	RICTOR	RPTOR independent companion of MTOR complex 2	253260	Q6R327	Cal33-HSC6	-0.0468219860423737	0.916050047212417	0.939962407452251	no	-0.0468219860423737	0.939962407452251	4	4	HSC6	human
Q6RFH5	WDR74	WD repeat domain 74	54663	Q6RFH5	Cal33-HSC6	-0.820373396719401	0.0258447528419561	0.0596734539875186	no	-0.820373396719401	0.0596734539875186	4	4	HSC6	human
Q6RI45	BRWD3	bromodomain and WD repeat domain containing 3	254065	Q6RI45	Cal33-HSC6	Inf	NA	0	yes	2.61619271833565	0.0176383	2	0	Cal33	human
Q6SPF0	SAMD1	sterile alpha motif domain containing 1	90378	Q6SPF0	Cal33-HSC6	-0.410432405954139	0.275125024698745	0.371658073245993	no	-0.410432405954139	0.371658073245993	4	4	HSC6	human
Q6T4R5	NHS	NHS actin remodeling regulator	4810	Q6T4R5	Cal33-HSC6	0.149675616169523	0.484831246733521	0.582749222196878	no	0.149675616169523	0.582749222196878	4	4	Cal33	human
Q6UB98	ANKRD12	ankyrin repeat domain 12	23253	Q6UB98	Cal33-HSC6	0.216364614280727	0.558622195180097	0.648197182745419	no	0.216364614280727	0.648197182745419	4	4	Cal33	human
Q6UB99	ANKRD11	ankyrin repeat domain 11	29123	Q6UB99	Cal33-HSC6	0.926907260740198	0.0478145021326939	0.0956553572037792	no	0.926907260740198	0.0956553572037792	4	4	Cal33	human
Q6ULP2	AFTPH	aftiphilin	54812	Q6ULP2	Cal33-HSC6	-Inf	NA	0	yes	-3.33555984464138	0.0409749	0	3	HSC6	human
Q6UN15	FIP1L1	factor interacting with PAPOLA and CPSF1	81608	Q6UN15	Cal33-HSC6	-0.226201661229043	0.218418760845901	0.311098115045778	no	-0.226201661229043	0.311098115045778	4	4	HSC6	human
Q6UUV7	CRTC3	CREB regulated transcription coactivator 3	64784	Q6UUV7	Cal33-HSC6	1.04092467204959	0.0302973077865283	0.0676484067267223	no	1.04092467204959	0.0676484067267223	4	4	Cal33	human
Q6UUV9	CRTC1	CREB regulated transcription coactivator 1	23373	Q6UUV9	Cal33-HSC6	0.333906206838461	0.16814316231602	0.252651169803779	no	0.333906206838461	0.252651169803779	4	4	Cal33	human
Q6UWZ7	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	Q6UWZ7	Cal33-HSC6	-0.112736972820149	0.337221918320465	0.437893388226901	no	-0.112736972820149	0.437893388226901	4	4	HSC6	human
Q6VMQ6	ATF7IP	activating transcription factor 7 interacting protein	55729	Q6VMQ6	Cal33-HSC6	-0.549476133855336	0.077669300476972	0.138387830284655	no	-0.549476133855336	0.138387830284655	4	4	HSC6	human
Q6VN20	RANBP10	RAN binding protein 10	57610	Q6VN20	Cal33-HSC6	-1.3503587070448	0.0124830103866289	0.0343822708226872	no	-1.3503587070448	0.0343822708226872	4	4	HSC6	human
Q6VY07	PACS1	phosphofurin acidic cluster sorting protein 1	55690	Q6VY07	Cal33-HSC6	-0.627446048690161	0.0359839521360246	0.0767914903492642	no	-0.627446048690161	0.0767914903492642	4	4	HSC6	human
Q6W2J9	BCOR	BCL6 corepressor	54880	Q6W2J9	Cal33-HSC6	0.356655762389087	0.0689987143943973	0.126623577309372	no	0.356655762389087	0.126623577309372	4	4	Cal33	human
Q6WCQ1	MPRIP	myosin phosphatase Rho interacting protein	23164	Q6WCQ1	Cal33-HSC6	-1.73981296583332	5.58040765343826e-05	0.000992626702153487	no	-1.73981296583332	0.000992626702153487	4	4	HSC6	human
Q6WKZ4	RAB11FIP1	RAB11 family interacting protein 1	80223	Q6WKZ4	Cal33-HSC6	0.51792849202152	0.00908525774259106	0.0272095682049551	no	0.51792849202152	0.0272095682049551	4	4	Cal33	human
Q6XQN6	NAPRT	nicotinate phosphoribosyltransferase	93100	Q6XQN6	Cal33-HSC6	0.376060678616271	0.780728848631018	0.833894885622664	no	0.376060678616271	0.833894885622664	2	3	Cal33	human
Q6XUX3	DSTYK	dual serine/threonine and tyrosine protein kinase	25778	Q6XUX3	Cal33-HSC6	-1.79198547227156	0.0867846902946541	0.151492573409089	no	-1.79198547227156	0.151492573409089	2	2	HSC6	human
Q6XZF7	DNMBP	dynamin binding protein	23268	Q6XZF7	Cal33-HSC6	-0.981927901601938	0.00357103132471281	0.0141278493598045	no	-0.981927901601938	0.0141278493598045	4	4	HSC6	human
Q6Y7W6	GIGYF2	GRB10 interacting GYF protein 2	26058	Q6Y7W6	Cal33-HSC6	0.608600561375632	0.0689932042590526	0.126623577309372	no	0.608600561375632	0.126623577309372	4	4	Cal33	human
Q6ZN18	AEBP2	AE binding protein 2	121536	Q6ZN18	Cal33-HSC6	0.0050346684234329	0.986510877557846	0.989618977361116	no	0.0050346684234329	0.989618977361116	4	4	Cal33	human
Q6ZN55	ZNF574	zinc finger protein 574	64763	Q6ZN55	Cal33-HSC6	0.765427754769757	0.256465992547985	0.351220524848509	no	0.765427754769757	0.351220524848509	3	4	Cal33	human
Q6ZNB6	NFXL1	nuclear transcription factor, X-box binding like 1	152518	Q6ZNB6	Cal33-HSC6	-1.79074511180538	0.000606111171592261	0.00428458583855035	no	-1.79074511180538	0.00428458583855035	4	4	HSC6	human
Q6ZNC4	ZNF704	zinc finger protein 704	619279	Q6ZNC4	Cal33-HSC6	Inf	NA	0	yes	5.65055864152243	0.039886	3	0	Cal33	human
Q6ZNJ1	NBEAL2	neurobeachin like 2	23218	Q6ZNJ1	Cal33-HSC6	-0.479019097336979	0.118978378161704	0.193082138668126	no	-0.479019097336979	0.193082138668126	4	4	HSC6	human
Q6ZRI6	C15orf39	chromosome 15 open reading frame 39	56905	Q6ZRI6	Cal33-HSC6	-1.48359465031262	0.0941867748025942	0.161144917233455	no	-1.48359465031262	0.161144917233455	2	3	HSC6	human
Q6ZRS2	SRCAP	Snf2 related CREBBP activator protein	10847	Q6ZRS2	Cal33-HSC6	-0.561753185899732	0.00131326452353475	0.00724685310733908	no	-0.561753185899732	0.00724685310733908	4	4	HSC6	human
Q6ZRV2	FAM83H	family with sequence similarity 83 member H	286077	Q6ZRV2	Cal33-HSC6	-2.14696049999962	1.1905801720058e-06	0.000153739791840006	no	-2.14696049999962	0.000153739791840006	4	4	HSC6	human
Q6ZS17	RIPOR1	RHO family interacting cell polarization regulator 1	79567	Q6ZS17	Cal33-HSC6	0.644215289265315	0.0180179770684861	0.0455311420524283	no	0.644215289265315	0.0455311420524283	4	4	Cal33	human
Q6ZSR9	Q6ZSR9	NA	NA	Q6ZSR9	Cal33-HSC6	0.930329621573566	0.00573164200605536	0.0196866754555343	no	0.930329621573566	0.0196866754555343	4	4	Cal33	human
Q6ZSZ5	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	23370	Q6ZSZ5	Cal33-HSC6	-0.667963737026211	0.0310563396744277	0.0687645240079122	no	-0.667963737026211	0.0687645240079122	4	4	HSC6	human
Q6ZU65	UBN2	ubinuclein 2	254048	Q6ZU65	Cal33-HSC6	1.78803086612235	0.0711602391008497	0.129619108293539	no	1.78803086612235	0.129619108293539	4	4	Cal33	human
Q6ZU80	CEP128	centrosomal protein 128	145508	Q6ZU80	Cal33-HSC6	-1.31661777905061	0.00970576321681271	0.0286686162499056	no	-1.31661777905061	0.0286686162499056	3	4	HSC6	human
Q6ZUM4	ARHGAP27	Rho GTPase activating protein 27	201176	Q6ZUM4	Cal33-HSC6	-Inf	NA	0	yes	-3.8785816284684	0.0480031	0	3	HSC6	human
Q6ZUT6	CCDC9B	coiled-coil domain containing 9B	388115	Q6ZUT6	Cal33-HSC6	-4.74013846272215	1.30114693130956e-06	0.000153739791840006	no	-4.74013846272215	0.000153739791840006	4	4	HSC6	human
Q6ZUT9	DENND5B	DENN domain containing 5B	160518	Q6ZUT9	Cal33-HSC6	-0.624428333307064	0.0401719794732545	0.0835451225622744	no	-0.624428333307064	0.0835451225622744	1	4	HSC6	human
Q6ZV29	PNPLA7	patatin like phospholipase domain containing 7	375775	Q6ZV29	Cal33-HSC6	0.0671642861174474	0.683705987577863	0.757189518068841	no	0.0671642861174474	0.757189518068841	3	4	Cal33	human
Q6ZV73	FGD6	FYVE, RhoGEF and PH domain containing 6	55785	Q6ZV73	Cal33-HSC6	-0.206974198181648	0.558127993915437	0.647859836903664	no	-0.206974198181648	0.647859836903664	1	4	HSC6	human
Q6ZV89	SH2D5	SH2 domain containing 5	400745	Q6ZV89	Cal33-HSC6	-Inf	NA	0	yes	-5.5092990937889	0.0236667	0	4	HSC6	human
Q6ZVL6	KIAA1549L	KIAA1549 like	25758	Q6ZVL6	Cal33-HSC6	-Inf	NA	0	yes	-2.53081721616918	0.01601	0	2	HSC6	human
Q6ZVM7	TOM1L2	target of myb1 like 2 membrane trafficking protein	146691	Q6ZVM7	Cal33-HSC6	-1.60442307998996	0.00639660573375611	0.0212306948052461	no	-1.60442307998996	0.0212306948052461	3	4	HSC6	human
Q6ZWT7	MBOAT2	membrane bound O-acyltransferase domain containing 2	129642	Q6ZWT7	Cal33-HSC6	-Inf	NA	0	yes	-7.4122184908478	0.0268238	0	4	HSC6	human
Q709C8	VPS13C	vacuolar protein sorting 13 homolog C	54832	Q709C8	Cal33-HSC6	0.223608733326384	0.776173453951825	0.830422136217276	no	0.223608733326384	0.830422136217276	4	3	Cal33	human
Q70CQ2	USP34	ubiquitin specific peptidase 34	9736	Q70CQ2	Cal33-HSC6	Inf	NA	0	yes	5.0699638030749	0.0225546	3	0	Cal33	human
Q70E73	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	65059	Q70E73	Cal33-HSC6	-0.993748203268168	0.0014229888271502	0.00768917173144278	no	-0.993748203268168	0.00768917173144278	4	4	HSC6	human
Q70EL1	USP54	ubiquitin specific peptidase 54	159195	Q70EL1	Cal33-HSC6	-0.051286570991637	0.91498074251147	0.939470714013712	no	-0.051286570991637	0.939470714013712	2	3	HSC6	human
Q70EL4	USP43	ubiquitin specific peptidase 43	124739	Q70EL4	Cal33-HSC6	-0.0862098793969207	0.752118247773444	0.81260417404501	no	-0.0862098793969207	0.81260417404501	4	4	HSC6	human
Q70J99	UNC13D	unc-13 homolog D	201294	Q70J99	Cal33-HSC6	0.26246729911245	0.424049802984572	0.523729469628735	no	0.26246729911245	0.523729469628735	4	4	Cal33	human
Q71DI3	H3C14	H3 clustered histone 14	126961	Q71DI3	Cal33-HSC6	-3.09047538058889	0.000191414635629217	0.00203834180549641	no	-3.09047538058889	0.00203834180549641	4	4	HSC6	human
Q71F23	CENPU	centromere protein U	79682	Q71F23	Cal33-HSC6	-2.04393987965154	0.00205099718659651	0.00969106793704732	no	-2.04393987965154	0.00969106793704732	4	4	HSC6	human
Q71F56	MED13L	mediator complex subunit 13L	23389	Q71F56	Cal33-HSC6	0.0984718074767761	0.832236974598185	0.878303787577269	no	0.0984718074767761	0.878303787577269	4	4	Cal33	human
Q71RC2	LARP4	La ribonucleoprotein 4	113251	Q71RC2	Cal33-HSC6	0.0934732397841542	0.560289822022631	0.649658701136219	no	0.0934732397841542	0.649658701136219	4	4	Cal33	human
Q75QN2	INTS8	integrator complex subunit 8	55656	Q75QN2	Cal33-HSC6	-0.31820953392926	0.342930927286207	0.443359675924448	no	-0.31820953392926	0.443359675924448	3	4	HSC6	human
Q765P7	MTSS2	MTSS I-BAR domain containing 2	92154	Q765P7	Cal33-HSC6	3.53642317100119	0.00493875421992129	0.0176487019486301	no	3.53642317100119	0.0176487019486301	4	2	Cal33	human
Q76FK4	NOL8	nucleolar protein 8	55035	Q76FK4	Cal33-HSC6	-1.21950782579131	0.000338257417220156	0.00286439259688557	no	-1.21950782579131	0.00286439259688557	4	4	HSC6	human
Q76I76	SSH2	slingshot protein phosphatase 2	85464	Q76I76	Cal33-HSC6	0.197492682993656	0.339766088535024	0.440120108175556	no	0.197492682993656	0.440120108175556	4	4	Cal33	human
Q76L83	ASXL2	ASXL transcriptional regulator 2	55252	Q76L83	Cal33-HSC6	-0.293511303638829	0.0538453019958371	0.105568621647011	no	-0.293511303638829	0.105568621647011	4	4	HSC6	human
Q7KZ85	SUPT6H	SPT6 homolog, histone chaperone and transcription elongation factor	6830	Q7KZ85	Cal33-HSC6	-0.315372644651308	0.23316487051673	0.32690310335767	no	-0.315372644651308	0.32690310335767	4	4	HSC6	human
Q7KZF4	SND1	staphylococcal nuclease and tudor domain containing 1	27044	Q7KZF4	Cal33-HSC6	0.231570883960462	0.29666528293715	0.395388137660898	no	0.231570883960462	0.395388137660898	4	4	Cal33	human
Q7KZI7	MARK2	microtubule affinity regulating kinase 2	2011	Q7KZI7	Cal33-HSC6	0.61251977555109	0.0592816965627203	0.113365118231653	no	0.61251977555109	0.113365118231653	4	4	Cal33	human
Q7L1Q6	BZW1	basic leucine zipper and W2 domains 1	9689	Q7L1Q6	Cal33-HSC6	0.807261405941964	0.16591902641247	0.2497806998096	no	0.807261405941964	0.2497806998096	4	3	Cal33	human
Q7L2J0	MEPCE	methylphosphate capping enzyme	56257	Q7L2J0	Cal33-HSC6	0.431041218735005	0.107938940816281	0.179466103163988	no	0.431041218735005	0.179466103163988	4	4	Cal33	human
Q7L2Z9	CENPQ	centromere protein Q	55166	Q7L2Z9	Cal33-HSC6	-1.2577796772863	0.00869760716376722	0.0264643520423942	no	-1.2577796772863	0.0264643520423942	2	4	HSC6	human
Q7L4E1	MIGA2	mitoguardin 2	84895	Q7L4E1	Cal33-HSC6	-0.0322894941343367	0.888402801306835	0.923196644700053	no	-0.0322894941343367	0.923196644700053	4	4	HSC6	human
Q7L4I2	RSRC2	arginine and serine rich coiled-coil 2	65117	Q7L4I2	Cal33-HSC6	-1.10947690401587	0.00185749751790487	0.00911289999539154	no	-1.10947690401587	0.00911289999539154	4	4	HSC6	human
Q7L523	RRAGA	Ras related GTP binding A	10670	Q7L523	Cal33-HSC6	Inf	NA	0	yes	4.647153164018	0.0390221	2	0	Cal33	human
Q7L590	MCM10	minichromosome maintenance 10 replication initiation factor	55388	Q7L590	Cal33-HSC6	-Inf	NA	0	yes	-3.32620142484172	0.0352801	0	3	HSC6	human
Q7L7V1	DHX32	DEAH-box helicase 32 (putative)	55760	Q7L7V1	Cal33-HSC6	0.705188026407064	0.306691121997506	0.405693615471566	no	0.705188026407064	0.405693615471566	2	2	Cal33	human
Q7L7X3	TAOK1	TAO kinase 1	57551	Q7L7X3	Cal33-HSC6	-0.257858058510037	0.125717862929984	0.201772619868021	no	-0.257858058510037	0.201772619868021	4	4	HSC6	human
Q7L8J4	SH3BP5L	SH3 binding domain protein 5 like	80851	Q7L8J4	Cal33-HSC6	0.704555074102189	0.0874428117062735	0.152377329325382	no	0.704555074102189	0.152377329325382	4	4	Cal33	human
Q7L8L6	FASTKD5	FAST kinase domains 5	60493	Q7L8L6	Cal33-HSC6	Inf	NA	0	yes	5.11195569249638	0.0431512	4	0	Cal33	human
Q7L9B9	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	80820	Q7L9B9	Cal33-HSC6	1.67670828899176	0.00909264465140458	0.0272095682049551	no	1.67670828899176	0.0272095682049551	4	4	Cal33	human
Q7LBC6	KDM3B	lysine demethylase 3B	51780	Q7LBC6	Cal33-HSC6	0.767191546285636	0.016568851422865	0.0427167797007305	no	0.767191546285636	0.0427167797007305	4	4	Cal33	human
Q7RTP6	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	57553	Q7RTP6	Cal33-HSC6	-0.900299931780253	0.000991396060443961	0.00594464229087302	no	-0.900299931780253	0.00594464229087302	4	4	HSC6	human
Q7Z2E3	APTX	aprataxin	54840	Q7Z2E3	Cal33-HSC6	0.346619584914892	0.571822999311264	0.660146638798791	no	0.346619584914892	0.660146638798791	4	4	Cal33	human
Q7Z2K8	GPRIN1	G protein regulated inducer of neurite outgrowth 1	114787	Q7Z2K8	Cal33-HSC6	-2.01589716545904	4.36597733630695e-05	0.000885431327312186	no	-2.01589716545904	0.000885431327312186	4	4	HSC6	human
Q7Z2T5	TRMT1L	tRNA methyltransferase 1 like	81627	Q7Z2T5	Cal33-HSC6	0.444411672041822	0.0641846407356539	0.120925382309066	no	0.444411672041822	0.120925382309066	2	3	Cal33	human
Q7Z2W4	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	56829	Q7Z2W4	Cal33-HSC6	0.13780687090398	0.462369474074539	0.562116993300242	no	0.13780687090398	0.562116993300242	4	4	Cal33	human
Q7Z2Z1	TICRR	TOPBP1 interacting checkpoint and replication regulator	90381	Q7Z2Z1	Cal33-HSC6	0.209684666202645	0.0458967856935675	0.0930206019403685	no	0.209684666202645	0.0930206019403685	4	4	Cal33	human
Q7Z309	FAM122B	family with sequence similarity 122B	159090	Q7Z309	Cal33-HSC6	0.159697044604722	0.489515718409598	0.586387527244605	no	0.159697044604722	0.586387527244605	4	4	Cal33	human
Q7Z333	SETX	senataxin	23064	Q7Z333	Cal33-HSC6	-Inf	NA	0	yes	-6.01834198863105	0.0431375	0	4	HSC6	human
